Couleur;Code
Ombre-De-Chypre-HG-3g;#CBB198
Ombre-naturelle-1g;#D5CCC7
Ombre-naturelle-3g;#C3B6B0
Oxy-Apt-Jaune-1g-Bis;#EADDCD
Oxy-Apt-Jaune-1g;#E5D6C3
Patine-Terre-1g;#DCD8D7
Patine-Terre-3g;#E0DBD9
Patine-Terre-7g;#DED9D5
Patine-Terre-12g;#DDD7D2
Rouge-Ercolano-1g;#ECCABD
Rouge-Ercolano-3g;#EEAE94
Rouge-San-Franc-3g-Bis;#F1DADC
Terre-Verte-de-Bren-1g;#BDBBB8
Terre-Verte-de-Bren-3g;#CAC9C6
Terre-Verte-de-Bren-7g;#C5C6C2
Terre-Verte-de-Bren-17g;#BDC0B8
Vert-A-La-Chaux-1g;#DDE3E1
Vert-A-La-Chaux-7g;#C7E0DC
Vert-Colibri-1g;#CDCFCE
Vert-Colibri-3g;#CACCCA
Vert-Colibri-7g;#B9C9CC
Vert-Collibri-15g;#9CBFBB
Vert-Pistache-1g;#BDBDB7
Vert-Pistache-3g;#B2B7AE
Vert-Turquoise-1g;#CFCFCF
Vert-Turquoise-3g;#C2C6C7
Vert-Turquoise-7g;#C2CBCA
Vert-Turquoise-15g;#B0C1BE
Gris-Anthracite-12g;#BCB9BC
Jaune-Citron-7g;#D4C6A7
Orange-960-7g;#BD6032
Rouge-130-3g;#D5695A
Bleu Monte carlo 12g - Noir 318 0,5g;#4986A5
Jaune Citron 12g Gris Anthracite 4g;#A1A28F
Bleu Charrette 12g Rouge 130 s;#938589
Terre verte de Niçoisie 12g Gris anthracite 4g;#8697A1
Bleu khossoghol 12g Noir 318 0,5g;#366A9C
Terre verte de Niçoisie 15g Bleu kossoghol 3g;#7599A5
Terre verte de Bren 9g Bleu Kossoghol 4g;#7D8E98
Bleu Indien 12g Noir 318 0,5g;#848D8C
Terre Jaune D’italie 15g bleu Indien 6g;#A69A72
